dataset,max_leaf_nodes,seed,CART,HS-CART,best_lambda_tree,RF,HS-RF,best_lambda_rf
"wine (3-class, accuracy)",4,5,0.8518518518518519,0.8518518518518519,0.1,0.9444444444444444,0.9444444444444444,10.0
"wine (3-class, accuracy)",4,6,0.8518518518518519,0.8518518518518519,0.1,0.9629629629629629,0.9629629629629629,25.0
"wine (3-class, accuracy)",4,7,0.9259259259259259,0.9259259259259259,0.1,0.9814814814814815,0.9814814814814815,0.1
"wine (3-class, accuracy)",4,8,0.7962962962962963,0.7962962962962963,25.0,0.9444444444444444,0.9444444444444444,0.1
"wine (3-class, accuracy)",4,9,0.8888888888888888,0.8888888888888888,0.1,0.9814814814814815,0.9814814814814815,0.1
"wine (3-class, accuracy)",8,0,0.9629629629629629,0.8703703703703703,200.0,1.0,1.0,25.0
"wine (3-class, accuracy)",8,1,0.9629629629629629,0.9629629629629629,0.1,0.9814814814814815,0.9814814814814815,25.0
"wine (3-class, accuracy)",8,2,0.9444444444444444,0.9444444444444444,200.0,1.0,1.0,0.1
"wine (3-class, accuracy)",8,3,0.8888888888888888,0.8888888888888888,100.0,0.9814814814814815,0.9814814814814815,0.1
"wine (3-class, accuracy)",8,4,0.9814814814814815,0.9814814814814815,0.1,1.0,1.0,50.0
"wine (3-class, accuracy)",8,5,0.8888888888888888,0.8888888888888888,0.1,0.9629629629629629,0.9629629629629629,0.1
"wine (3-class, accuracy)",8,6,0.9259259259259259,0.9259259259259259,0.1,0.9814814814814815,0.9814814814814815,25.0
"wine (3-class, accuracy)",8,7,0.9444444444444444,0.9444444444444444,0.1,0.9629629629629629,0.9629629629629629,0.1
"wine (3-class, accuracy)",8,8,0.8148148148148148,0.7962962962962963,50.0,0.9814814814814815,0.9814814814814815,0.1
"wine (3-class, accuracy)",8,9,0.9074074074074074,0.9074074074074074,0.1,0.9814814814814815,0.9814814814814815,25.0
"wine (3-class, accuracy)",16,0,0.9814814814814815,0.8703703703703703,200.0,1.0,1.0,25.0
"wine (3-class, accuracy)",16,1,0.9629629629629629,0.9629629629629629,0.1,1.0,1.0,25.0
"wine (3-class, accuracy)",16,2,0.9444444444444444,0.9444444444444444,200.0,1.0,1.0,0.1
"wine (3-class, accuracy)",16,3,0.9074074074074074,0.8888888888888888,100.0,0.9814814814814815,0.9629629629629629,0.1
"wine (3-class, accuracy)",16,4,0.9814814814814815,0.9814814814814815,25.0,1.0,1.0,50.0
"wine (3-class, accuracy)",16,5,0.8888888888888888,0.8888888888888888,0.1,0.9444444444444444,0.9444444444444444,0.1
